personLabel,categoryLabel,year,age
Шон Макбрайд,Нобелевская премия мира,1974,70
Кристиан Лоус Ланге,Нобелевская премия мира,1921,52
Жозе Рамуш-Орта,Нобелевская премия мира,1996,47
Фредерик Пасси,Нобелевская премия мира,1901,79
Михаил Сергеевич Горбачёв,Нобелевская премия мира,1990,59
Лейма Гбови,Нобелевская премия мира,2011,39
Джон Рэлей Мотт,Нобелевская премия мира,1946,81
Альва Мюрдаль,Нобелевская премия мира,1982,80
Натан Сёдерблюм,Нобелевская премия мира,1930,64
Тавакуль Карман,Нобелевская премия мира,2011,32
Анри Лафонтен,Нобелевская премия мира,1913,59
Артур Хендерсон,Нобелевская премия мира,1934,71
Денис Муквеге,Нобелевская премия мира,2018,63
Вудро Вильсон,Нобелевская премия мира,1919,63
мать Тереза,Нобелевская премия мира,1979,69
Симон ван дер Мер,Нобелевская премия по физике,1984,59
Джорджо Паризи,Нобелевская премия по физике,2021,73
Рабиндранат Тагор,Нобелевская премия по литературе,1913,52
Грация Деледда,Нобелевская премия по литературе,1926,55
Франсуа Мориак,Нобелевская премия по литературе,1952,67
Артур Холли Комптон,Нобелевская премия по физике,1927,35
Бьёрнстьерне Бьёрнсон,Нобелевская премия по литературе,1903,71
Иван Алексеевич Бунин,Нобелевская премия по литературе,1933,63
Фрэнк Вилчек,Нобелевская премия по физике,2004,53
Эудженио Монтале,Нобелевская премия по литературе,1975,79
Оге Нильс Бор,Нобелевская премия по физике,1975,53
Тумас Транстрёмер,Нобелевская премия по литературе,2011,80
Дидье Кело,Нобелевская премия по физике,2019,53
Исаак Башевис Зингер,Нобелевская премия по литературе,1978,74
Мигель Анхель Астуриас,Нобелевская премия по литературе,1967,68
Константин Сергеевич Новосёлов,Нобелевская премия по физике,2010,36
Сельма Лагерлёф,Нобелевская премия по литературе,1909,51
Ясунари Кавабата,Нобелевская премия по литературе,1968,69
Джон Мазер,Нобелевская премия по физике,2006,60
Дорис Лессинг,Нобелевская премия по литературе,2007,88
Клаус Хассельман,Нобелевская премия по физике,2021,90
Джон Голсуорси,Нобелевская премия по литературе,1932,65
Борис Леонидович Пастернак,Нобелевская премия по литературе,1958,68
Иво Андрич,Нобелевская премия по литературе,1961,69
Чеслав Милош,Нобелевская премия по литературе,1980,69
Андрей Константинович Гейм,Нобелевская премия по физике,2010,52
Воле Шойинка,Нобелевская премия по литературе,1986,52
Генрик Сенкевич,Нобелевская премия по литературе,1905,59
